Species,Feret
P.dasytaschya,108.25
P.dasytaschya,108.25
P.dasytaschya,108.43
P.dasytaschya,108.96
P.dasytaschya,109.36
P.dasytaschya,109.73
P.dasytaschya,109.73
P.dasytaschya,111.45
P.dasytaschya,112.14
P.dasytaschya,113.02
P.dasytaschya,113.12
P.dasytaschya,113.21
P.dasytaschya,113.71
P.dasytaschya,113.87
P.dasytaschya,114.02
P.dasytaschya,114.98
P.dasytaschya,116.85
P.dasytaschya,117.11
P.dasytaschya,118.24
P.dasytaschya,118.72
P.dasytaschya,118.93
P.dasytaschya,119.06
P.dasytaschya,119.53
P.dasytaschya,119.94
P.dasytaschya,120.42
P.dasytaschya,121.44
P.dasytaschya,121.81
P.dasytaschya,122.47
P.dasytaschya,122.98
P.dasytaschya,123.41
P.dasytaschya,124.69
P.dasytaschya,125.25
P.dasytaschya,127.12
P.dasytaschya,127.77
P.dasytaschya,130.55
P.dasytaschya,133.66
P.dasytaschya,134.39
P.dasytaschya,136.31
P.dasytaschya,137.18
P.dasytaschya,137.52
P.dasytaschya,139.56
P.dasytaschya,142.1
P.dasytaschya,143.12
P.dasytaschya,145.73
P.dasytaschya,146.34
P.dasytaschya,148.26
P.dasytaschya,148.75
P.dasytaschya,149.25
P.dasytaschya,150.06
P.dasytaschya,151.17
P.dasytaschya,154.1
P.dasytaschya,157.25
P.dasytaschya,164.5
P.dasytaschya,170.06
P.dasytaschya,173.49
P.dasytaschya,173.82
P.dasytaschya,179.22
P.dasytaschya,179.48
P.dasytaschya,240.48
P.echinata,59.71
P.echinata,60.54
P.echinata,62.86
P.echinata,69.09
P.echinata,70.94
P.echinata,74.05
P.echinata,78.95
P.echinata,79.95
P.echinata,90.25
P.echinata,97.8
P.echinata,98.47
P.echinata,100.72
P.echinata,103.25
P.echinata,105.42
P.echinata,106.33
P.echinata,106.71
P.echinata,106.91
P.echinata,109.62
P.echinata,109.93
P.echinata,111.17
P.echinata,111.77
P.echinata,112.61
P.echinata,113.66
P.echinata,115.44
P.echinata,118.11
P.echinata,118.11
